X,Y,fid,ward,Severity
72.81177994,18.91276823,1,A,1
72.80520692,18.90978602,2,A,0
72.80611239,18.91121368,3,A,0
72.80805746,18.91365654,4,A,1
72.81177994,18.91273651,5,A,1
72.81281955,18.91176888,6,A,1
72.81375855,18.91088056,7,A,0
72.81543535,18.91046813,8,A,1
72.81644142,18.91208614,9,A,2
72.81630728,18.91300617,10,A,1
72.81627374,18.91389448,11,A,1
72.83917871,18.95830473,12,B,1
72.84373959,18.95830473,13,B,1
72.84159329,18.95790828,14,B,1
72.83962306,18.95342029,15,B,1
72.83856668,18.95292074,16,B,1
72.83363692,18.96182525,17,B,1
72.83764445,18.96245164,18,B,1
72.82791067,18.95804836,19,C,2
72.8263792,18.96045881,20,C,1
72.8233498,18.94309853,21,C,1
72.79814204,18.95489251,22,D,1
72.80232284,18.95857168,23,D,1
72.82584263,18.95836024,24,D,1
72.81361323,18.96263136,25,D,1
72.81562538,18.96335025,26,D,2
72.81835296,18.96396342,27,D,0
72.84531577,18.96899556,28,E,2
72.83908928,18.96506289,29,E,1
72.82882732,18.97223042,30,E,2
72.83446134,18.97409097,31,E,2
72.8578557,19.01179816,32,F/N,1
72.85373345,19.01232483,33,F/N,2
72.84879417,19.01697704,34,F/N,2
72.86377911,19.01927676,35,F/N,1
72.86264642,19.02245419,36,F/N,2
72.86223791,19.02508737,37,F/N,2
72.8593969,19.03209142,38,F/N,2
72.86597021,19.03396965,39,F/N,2
72.86949827,19.03451381,40,F/N,2
72.87198647,19.03651488,41,F/N,2
72.86643443,19.03574254,42,F/N,1
72.86561741,19.03698882,43,F/N,2
72.86168085,19.04216691,44,F/N,1
72.86299922,19.04527369,45,F/N,1
72.8679385,19.0516977,46,F/N,2
72.83936128,18.99148486,47,F/S,1
72.8560174,18.99552314,48,F/S,2
72.85497755,18.99994757,49,F/S,2
72.83808004,19.00591686,50,F/S,0
72.84079107,19.00707558,51,F/S,1
72.84229513,19.01406284,52,F/S,1
72.85460617,19.00503904,53,F/S,1
72.85289786,19.03984118,54,G/N,1
72.8560174,19.04092945,55,G/N,1
72.85757717,19.04491387,56,G/N,1
72.84740152,19.04112253,57,G/N,1
72.84478334,19.04373786,58,G/N,1
72.83889706,19.04738873,59,G/N,2
72.8283779,18.98332022,60,G/S,1
72.82971484,18.99266124,61,G/S,2
72.83160885,18.99389028,62,G/S,1
72.83281582,18.99523344,63,G/S,1
72.83119105,19.00461768,64,G/S,1
72.83308506,19.00486347,65,G/S,1
72.83354928,19.00639089,66,G/S,2
72.84953692,19.05171525,67,H/E,1
72.84203517,19.07249502,68,H/E,2
72.84547038,19.07017848,69,H/E,1
72.84790288,19.07647868,70,H/E,2
72.85252648,19.08191876,71,H/E,1
72.86387195,19.07579427,72,H/E,2
72.86749285,19.07798788,73,H/E,0
72.86803134,19.0790408,74,H/E,1
72.85445763,19.08342792,75,H/E,1
72.83749513,19.05572574,76,H/W,1
72.83747656,19.06183342,77,H/W,2
72.8390549,19.06648424,78,H/W,0
72.84041041,19.073469,79,H/W,1
72.82900923,19.07256521,80,H/W,1
72.83383709,19.0768472,81,H/W,1
72.83107036,19.07951462,82,H/W,1
72.83545257,19.08537576,83,H/W,1
72.84163594,19.08941175,84,H/W,2
72.84967619,19.11590649,85,K/E,2
72.84759649,19.12050316,86,K/E,2
72.87151297,19.11204659,87,K/E,1
72.87580234,19.11060788,88,K/E,1
72.82804366,19.11601176,89,K/W,1
72.82325294,19.12974874,90,K/W,2
72.83606534,19.13194164,91,K/W,2
72.82577828,19.13516953,92,K/W,1
72.83706805,19.13646769,93,K/W,1
72.83302007,19.14218648,94,K/W,1
72.83714232,19.14166022,95,K/W,1
72.84408701,19.14348458,96,K/W,1
72.89910604,19.10785324,97,L,2
72.88756096,19.09907581,98,L,1
72.88193465,19.09228515,99,L,1
72.87844373,19.08814394,100,L,1
72.88559268,19.07766761,101,L,0
72.87664257,19.07528096,102,L,0
72.88161898,19.06783998,103,L,1
72.87953929,19.06713798,104,L,2
72.87842516,19.06531278,105,L,2
72.87749673,19.06475117,106,L,1
72.87983638,19.06106559,107,L,1
72.87682826,19.05190393,108,L,1
72.86977215,19.05264109,109,L,1
72.93732505,19.03814293,110,M/E,1
72.92618384,19.04028439,111,M/E,1
72.91151457,19.04593629,112,M/E,1
72.93572815,19.05000835,113,M/E,2
72.92815212,19.05042959,114,M/E,1
72.91767938,19.05709911,115,M/E,1
72.9193877,19.05997745,116,M/E,1
72.93008326,19.05815216,117,M/E,1
72.93721364,19.055344,118,M/E,0
72.94270997,19.055344,119,M/E,1
72.91040045,19.06432997,120,M/E,1
72.91433701,19.06341735,121,M/E,1
72.92154167,19.06496177,122,M/E,0
72.93067746,19.06664658,123,M/E,1
72.88923214,19.05021897,124,M/W,1
72.89380004,19.0613815,125,M/W,2
72.89168321,19.06520748,126,M/W,1
72.89324298,19.06306634,127,M/W,1
72.89751378,19.06601478,128,M/W,1
72.90650103,19.06727838,129,M/W,2
72.90937917,19.0699986,130,N,1
72.9151726,19.07122707,131,N,1
72.90625963,19.07266612,132,N,1
72.89680817,19.08019463,133,N,1
72.89699386,19.08610839,134,N,1
72.9117374,19.08021218,135,N,0
72.91014049,19.08091412,136,N,0
72.92094747,19.08059824,137,N,1
72.91229446,19.08744203,138,N,1
72.91010335,19.08807374,139,N,1
72.9179022,19.08249347,140,N,1
72.90315866,19.09407496,141,N,1
72.91266583,19.09418024,142,N,1
72.79653723,19.14944431,143,P/N,1
72.78881266,19.16193319,144,P/N,0
72.7919322,19.16824742,145,P/N,0
72.8484553,19.18834614,146,P/N,1
72.85046071,19.18392674,147,P/N,2
72.85907659,19.18883718,148,P/N,2
72.84126921,19.16940501,149,P/S,1
72.85070211,19.16740554,150,P/S,1
72.85727542,19.16466939,151,P/S,1
72.85389592,19.16144207,152,P/S,1
72.83762975,19.16189811,153,P/S,2
72.85330172,19.24198331,154,R/N,1
72.86058065,19.24219368,155,R/N,1
72.84420307,19.25450021,156,R/N,1
72.86009787,19.25839183,157,R/N,2
72.85608703,19.25828665,158,R/N,1
72.85638413,19.26049537,159,R/N,1
72.85482436,19.26301958,160,R/N,2
72.84810249,19.26407132,161,R/N,1
72.82684134,19.1985524,162,R/S,1
72.83519725,19.20172638,163,R/S,1
72.83174347,19.20584721,164,R/S,1
72.83192916,19.20595242,165,R/S,1
72.83237481,19.20777607,166,R/S,1
72.85161197,19.19869269,167,R/S,2
72.85324602,19.21300142,168,R/S,1
72.86490233,19.21484871,169,R/C,1
72.87255476,19.22166873,170,R/C,1
72.88192683,19.22905676,171,R/C,1
72.88622595,19.23165467,172,R/C,1
72.9054,19.23206059,173,R/C,1
72.90901126,19.23161408,174,R/C,1
72.91318141,19.23063986,175,R/C,1
72.93600971,19.14050033,176,S,1
72.89826347,19.13262093,177,S,1
72.91081689,19.12100422,178,S,1
72.92741148,19.110321,179,S,2
72.92564884,19.12425373,180,S,1
72.94220044,19.14265289,181,S,0
72.93128068,19.14468357,182,S,1
72.93519288,19.14561768,183,S,1
72.93953499,19.14740465,184,S,1
72.93992191,19.15244056,185,S,1
72.94477991,19.14797323,186,S,1
72.94168455,19.15629862,187,S,0
72.94778929,19.16096877,188,T,1
72.95870905,19.16222766,189,T,0
72.95655949,19.16405506,190,T,1
72.95840811,19.16844074,191,T,1
72.96313714,19.16592305,192,T,1
72.95982682,19.16657278,193,T,1
72.95875204,19.17806447,194,T,0
72.95367908,19.17022747,195,T,0
72.94615563,19.16657278,196,T,1
